Course Name,Timestamp,Rating,Comment
Data Mining for Business Analytics & Data Analysis in Python,2023-08-31 13:27:45+00:00,5,"Great course, he leaves the complex math/Greek letters out of things and tries to keep things straightforward.
Would've been nice to have some quizzes to drill the information in, but that's a minor nit-pick."
Decision Making with Problem Solving & Critical Thinking,2023-09-01 14:16:46+00:00,5,This course really opened my eyes to a different approach to thinking.
Data Mining for Business Analytics & Data Analysis in Python,2023-09-04 13:50:43+00:00,5,So far so good.
Decision Making with Problem Solving & Critical Thinking,2023-09-05 08:01:06+00:00,5,Good concept
Business Data Analytics & Intelligence with Python,2023-09-05 16:48:16+00:00,5,it's my 5th course. love you ZTM
Decision Making with Problem Solving & Critical Thinking,2023-09-06 14:27:46+00:00,5,good
Econometrics and Statistics for Business in R & Python,2023-09-07 21:15:23+00:00,4,Really easy to follow - as a Biology undergraduate I did have a good understanding of stats already which made this course quite easy but it was still extremely useful to get a social science perspective on some of these procedures. Great resources too.
Econometrics and Statistics for Business in R & Python,2023-09-13 07:42:18+00:00,5,amazing learning experience
Business Data Analytics & Intelligence with Python,2023-09-13 20:36:43+00:00,5,"Diogo is an excellent teacher, complex topics, he make's it so easy to understand,  i'm learning a lot of statistics and data analysis. Thanks Diogo."
Business Data Analytics & Intelligence with Python,2023-09-16 20:34:26+00:00,2.5,"Yeaa, interesting course but boring and technical"
Statistics for Business Analytics: Data Analysis with Excel,2023-09-17 14:08:40+00:00,3,It doesn't cover ANOVA .
Data Literacy and Business Analytics for Business Leaders,2023-09-19 12:39:38+00:00,4.5,"Great Course, direct to the point, easy to understand and super useful to utilize at work. highly recommended"
Decision Making with Problem Solving & Critical Thinking,2023-09-21 21:27:17+00:00,2.5,"Not a good match, but will complete it anyway."
Decision Making with Problem Solving & Critical Thinking,2023-09-26 02:22:02+00:00,4.5,Short bite sized videos helps with easy understanding
Business Data Analytics & Intelligence with Python,2023-09-26 03:48:43+00:00,2.5,would have appreciated helping setting the platform on VScode
Data Literacy and Business Analytics for Business Leaders,2023-09-26 09:06:28+00:00,5,So far course is interesting
Decision Making with Problem Solving & Critical Thinking,2023-09-27 04:44:11+00:00,5,Thank you Diogo for the knowledge shared
Data Literacy and Business Analytics for Business Leaders,2023-09-28 14:34:17+00:00,5,N/A
Forecasting Models and Time Series for Business in Python,2023-10-02 05:22:32+00:00,4,good explanations so far
Forecasting Models and Time Series for Business in Python,2023-10-02 16:18:18+00:00,5,This course has certainly given to me knowledge analytics and finance
XGBoost for Business: Machine Learning Course in Python & R,2023-10-04 15:17:47+00:00,4.5,"Brilliant introduction to XGBoost. Very clear and provides a great example. Only thing I would say the content is broken into way too many videos and would be slightly easier to follow if there were fewer, longer videos."
Business Data Analytics & Intelligence with Python,2023-10-07 22:19:34+00:00,5,"Świetny prowadzący, dużo przykładów praktycznego zastosowania. Bardzo dobry kurs"
Business Data Analytics & Intelligence with Python,2023-10-11 10:19:38+00:00,4.5,"Firstly, thank you for creating this course. I enjoyed it and appreciate all the effort that you put into it. This course provides a great overview of foundational statistics and more advanced techniques to give an individual the confidence to pursue a career in this field. What sets Diogo's teaching apart is his structured approach - each lecture builds upon the previous one - and this helps you to feel confident in applying what you have learned. I would strongly advise fellow learners to approach this course with patience, resisting the urge to rush through it, as I've done with previous courses. Taking the time to absorb the content pays off in the long run."
Econometrics and Statistics for Business in R & Python,2023-10-12 15:10:02+00:00,4,"Very interesting, I'm learning to code into R."
Data Literacy and Business Analytics for Business Leaders,2023-10-13 15:11:00+00:00,4,Good. Can't wait to get to real content on how to do it.
Decision Making with Problem Solving & Critical Thinking,2023-10-16 11:12:31+00:00,5,Great
Decision Making with Problem Solving & Critical Thinking,2023-10-17 03:24:19+00:00,2.5,Very poor in the many instances where the instructor would use Excel examples on a topic. These were very distracting as he would show the mouse moving around. I could have explained many of the concepts in this class in a better way for the student to follow and learn.
Business Data Analytics & Intelligence with Python,2023-10-17 14:48:14+00:00,3,"It was good however my main problem with this course is you are supposed to teach us from the basic, in the real world, clients would want to visualize our finding. moreover , most the time we jus reach the results but i didnt understand what we gained from it the finishing touch for each project was poor. maybe insert more videos that explain the finishing  better similar to a real world scenario.  Nonetheless i learned a lot from the core parts so thank you for the ZTM team and Diogo for their efforts."
Data Literacy and Business Analytics for Business Leaders,2023-10-17 18:27:03+00:00,3.5,I am enjoying the class and the information being presented
Forecasting Models and Time Series for Business in Python,2023-10-17 19:09:28+00:00,4,The course is great
Business Data Analytics & Intelligence with Python,2023-10-22 12:42:44+00:00,4.5,"The goods: the concise format, the examples are relevant, most of the codes runs (I run it locally with VS Code), instructor is responsive.

The not-so-good: typos and the delivery is not so engaging."
Forecasting Models and Time Series for Business in Python,2023-10-22 15:33:42+00:00,4,"I really like the level of depth used in the course. Excels on the practical part. Not too deep that you get lost in the minutiae, but still gives you a good context of where the ideas come from. That said, it's not a course for absolute beginners in Python and data science. To enjoy the benefits of the course and not get stuck on the technical aspects of it, better have a good grasp of Pandas/numpy/ML basics."
Business Data Analytics & Intelligence with Python,2023-10-22 21:12:14+00:00,4,Definitely a good course in python being applied to analytics. First half of the course is the best part.
Forecasting Models and Time Series for Business in Python,2023-10-23 12:55:45+00:00,5,"This was a very interesting course, full of super useful concepts and from the programing perspective for those who do not know how to use Python, easy to follow and understand.
Thanks for all the effort you put on creating it Diogo! 100% recommended!"
Forecasting Models & Time Series Analysis for Business in R,2023-10-26 17:12:42+00:00,4,It's all been introductory so far but Diogo is thorough and easy to follow. The resources look great and I have connected with him on LinkedIn and Facebook.
Business Data Analytics & Intelligence with Python,2023-10-27 17:48:53+00:00,4,I thought that coding is the most difficult thing in this world. But this course has made me have the different perspective. I am really enjoying it.
Forecasting Models & Time Series Analysis for Business in R,2023-10-27 20:56:49+00:00,4.5,"Yes, the course was enlightening."
Business Data Analytics & Intelligence with Python,2023-10-28 18:33:04+00:00,5,"So far,I am really enjoying and following the course. I really like that there is a community to help each other."
XGBoost for Business: Machine Learning Course in Python & R,2023-10-28 21:41:49+00:00,5,Excelent course!
Econometrics and Statistics for Business in R & Python,2023-11-01 15:19:21+00:00,5,excellent
Forecasting Models & Time Series Analysis for Business in R,2023-11-06 14:43:19+00:00,3,"Es un buen curso para conocer conceptos básicos y comenzar a entrar en el mundo del Forecasting, sobre todo porque abarca muchos temas actuales. Como es de esperarse, los ejemplos son sencillos y no se aborda mucho detalle de la interpretación de los todos los resultados."
Business Data Analytics & Intelligence with Python,2023-11-08 17:02:11+00:00,1,"Not a good course :
1- some python code are not up to date and doesn't work.
2- the course doesn't add any value compare to the simple reading of either wikipedia article or documentation of python module used. Considered this course as a audio version of those.
3- instructor doesn't really know python and code could easily be improved
4- exercices don't add anything to learning. It's just an opportunity to writte the exact same code you wrote in the theoric part.
5- course info say it's about 15 hours but the course is slowed down (must go to 1.5x speed to have a normal speaking person)
6- video are overly cut to make increase the number of videos but most of them are about 1 min long

If I know that there was not other link with Zero To Mastery but the name, I'd never bought this course."
Decision Making with Problem Solving & Critical Thinking,2023-11-09 06:43:25+00:00,4.5,good
Decision Making with Problem Solving & Critical Thinking,2023-11-09 07:19:36+00:00,3,Good
Decision Making with Problem Solving & Critical Thinking,2023-11-10 09:18:43+00:00,5,Its worth taking the course
Decision Making with Problem Solving & Critical Thinking,2023-11-13 09:14:39+00:00,4,good
Statistics for Business Analytics: Data Analysis with Excel,2023-11-14 05:53:53+00:00,4.5,Learnt a lot. Good tutor
